ticker,SALES_REV_TURN
AAL UW Equity,29882.0
AAME UQ Equity,199.554
AAOI UQ Equity,211.565
AAON UW Equity,534.517
AAPL UW Equity,365817.0
AATC UR Equity,13.242
AAWW UW Equity,4030.829
ABCB UW Equity,1068.656
ABCL UW Equity,375.203
ABCM UW Equity,315.4
ABEO UR Equity,3.0
ABMD UW Equity,847.522
ABNB UW Equity,5991.76
ABST UW Equity,120.784
ABTX UQ Equity,261.746
ACAD UW Equity,484.145
ACB UW Equity,245.252
ACBI UW Equity,122.932
ACER UR Equity,1.26
ACET UQ Equity,9.73
ACGL UW Equity,9249.98
ACHC UW Equity,2314.394
ACHV UR Equity,4235.46331955651
ACIW UW Equity,1370.598
ACLS UW Equity,662.428
ACNB UR Equity,100.935
ACOR UW Equity,129.071
ACRS UW Equity,6.761
ACRX UQ Equity,2.818
ACTG UW Equity,88.047
ADAP UW Equity,6.149
ADBE UW Equity,15785.0
ADES UQ Equity,100.294
ADI UW Equity,7318.286
ADMA UQ Equity,80.942625
ADMP UR Equity,2.20868
ADP UW Equity,15005.4
ADPT UW Equity,154.344
ADSK UW Equity,4386.4
ADTN UW Equity,563.004
ADUS UW Equity,864.499
ADVM UQ Equity,7.5
AEHL UR Equity,47.43023414
AEHR UR Equity,16.6
AEIS UW Equity,1455.954
AEP UW Equity,16792.0
AERI UQ Equity,194.134
AEY UR Equity,62.16
AFIN UW Equity,335.156
AFMD UQ Equity,40.366
AFRM UW Equity,870.464
AFYA UW Equity,1201.191
AGEN UR Equity,295.665
AGFS UW Equity,165.989
AGIO UW Equity,4235.46331955651
AGLE UQ Equity,18.739
AGNC UW Equity,912.0
AGRX UR Equity,4.101
AGTC UQ Equity,0.5
AGYS UW Equity,137.176
AIMC UW Equity,1899.8
AIRG UR Equity,64.273
AIRT UQ Equity,175.121
AKAM UW Equity,3461.223
AKBA UQ Equity,213.578
AKTS UR Equity,6.618
ALBO UR Equity,40.579
ALCO UW Equity,108.564
ALDX UR Equity,4235.46331955651
ALEC UW Equity,207.085
ALGM UW Equity,591.207
ALGN UW Equity,3952.584
ALGT UW Equity,1707.91
ALIM UQ Equity,59.029
ALJJ UQ Equity,440.853
ALKS UW Equity,1173.751
ALLK UW Equity,4235.46331955651
ALLO UW Equity,38.489
ALNY UW Equity,844.287
ALOT UQ Equity,117.48
ALRM UW Equity,748.969
ALRS UR Equity,240.044
ALT UQ Equity,4.410356
ALTM UQ Equity,160.617
ALTO UR Equity,1207.892
ALTR UW Equity,532.179
ALVR UW Equity,4235.46331955651
AMAL UQ Equity,208.765
AMAT UW Equity,23063.0
AMBA UW Equity,331.856
AMCX UW Equity,3077.608
AMD UW Equity,16434.0
AMED UW Equity,2214.112
AMEH UR Equity,773.915
AMGN UW Equity,25979.0
AMKR UW Equity,6138.329
AMNB UW Equity,116.827
AMOT UQ Equity,403.516
AMPH UW Equity,437.768
AMRN UQ Equity,583.187
AMRS UW Equity,341.817
AMSC UW Equity,87.125
AMSF UW Equity,315.934
AMSWA UW Equity,111.408
AMTB UW Equity,368.465
AMTX UQ Equity,211.949
AMWD UW Equity,1744.014
AMZN UW Equity,469822.0
ANAB UW Equity,63.175
ANAT UW Equity,4391.791
ANDE UW Equity,12612.05
ANGI UW Equity,1685.438
ANGO UW Equity,291.01
ANIK UW Equity,147.794
ANIP UQ Equity,216.136
ANSS UW Equity,1906.715
ANTE UR Equity,23.434
AOSL UW Equity,656.902
APA UW Equity,8079.0
APDN UR Equity,9.027738
APEI UW Equity,418.803
APEN UQ Equity,62.989
APLS UW Equity,66.563
APLT UQ Equity,4235.46331955651
APOG UW Equity,1313.977
APPF UQ Equity,359.37
APPN UQ Equity,369.259
APPS UR Equity,313.579
APTO UR Equity,4235.46331955651
APVO UR Equity,12.292
APWC UR Equity,313.564
APYX UW Equity,48.517
AQB UR Equity,1.174832
AQMS UR Equity,0.173
ARAV UW Equity,7.442
ARAY UW Equity,396.289
ARCB UW Equity,3980.067
ARDX UQ Equity,10.097
ARGX UW Equity,497.277
ARKR UQ Equity,131.87
ARLP UW Equity,1569.976
ARNA UW Equity,0.054
AROW UW Equity,147.919
ARRY UQ Equity,853.318
ARTL UR Equity,4235.46331955651
ARTNA UW Equity,90.859
ARTW UR Equity,24.965086
ARVN UW Equity,46.7
ARWR UW Equity,138.287
ASMB UW Equity,6.254
ASML UW Equity,18611.0
ASND UW Equity,7.778
ASO UW Equity,6773.128
ASPS UW Equity,178.453
ASRT UR Equity,111.014
ASRV UQ Equity,64.43
ASTC UR Equity,0.334
ASTE UW Equity,1097.2
ASUR UR Equity,76.064
ASYS UW Equity,85.205
ATEC UW Equity,243.212
ATEX UR Equity,0.921
ATHE UR Equity,4235.46331955651
ATHX UR Equity,5.514
ATLC UW Equity,499.884
ATLO UR Equity,71.019
ATNI UW Equity,602.707
ATNX UW Equity,120.181
ATRA UW Equity,20.34
ATRC UQ Equity,274.329
ATRI UW Equity,165.009
ATRO UW Equity,444.908
ATRS UR Equity,183.982
ATSG UW Equity,1734.282
ATVI UW Equity,8803.0
AUB UW Equity,718.165
AUBN UQ Equity,30.795
AUTL UW Equity,2.33
AUTO UR Equity,71.585
AVAV UW Equity,394.912
AVCO UR Equity,1.390972
AVDL UQ Equity,4235.46331955651
AVEO UR Equity,42.295
AVGO UW Equity,27450.0
AVGR UR Equity,10.13
AVID UW Equity,409.944
AVNW UW Equity,274.911
AVRO UW Equity,4235.46331955651
AVT UW Equity,19534.679
AVTX UR Equity,5.398
AVXL UW Equity,4235.46331955651
AWH UR Equity,6.812
AWRE UQ Equity,16.854
AXDX UR Equity,11.782
AXGN UR Equity,127.358
AXNX UW Equity,180.29
AXON UW Equity,863.381
AXSM UQ Equity,4235.46331955651
AXTI UW Equity,137.393
AY UW Equity,1211.749
AZN UW Equity,37417.0
AZPN UW Equity,709.376
AZTA UW Equity,513.703
BAND UW Equity,490.907
BANF UW Equity,497.053
BANR UW Equity,616.916
BATRA UW Equity,568.0
BATRK UW Equity,568.0
BBBY UW Equity,7867.778
BBCP UR Equity,315.808
BBGI UQ Equity,241.426308
BBI UR Equity,0.404
BBIO UW Equity,69.716
BBQ UW Equity,206.442
BBSI UW Equity,955.166
BCAB UQ Equity,0.25
BCBP UQ Equity,121.268
BCEL UW Equity,4235.46331955651
BCML UW Equity,92.877
BCOR UW Equity,885.2
BCOV UW Equity,211.093
BCPC UW Equity,799.023
BCRX UW Equity,157.17
BDSI UW Equity,166.703
BEAT UR Equity,4235.46331955651
BECN UW Equity,6642.0
BELFA UW Equity,543.494
BELFB UW Equity,543.494
BFIN UW Equity,52.255
BFRA UR Equity,30.346
BFST UW Equity,206.22
BGCP UW Equity,2354.716
BGFV UW Equity,1161.82
BGNE UW Equity,1176.283
BHF UW Equity,7142.0
BIDU UW Equity,124493.0
BIGC UQ Equity,219.855
BIIB UW Equity,10981.7
BIMI UR Equity,27.079795
BIOL UR Equity,39.188
BJRI UW Equity,1087.038
BKNG UW Equity,10958.0
BKR UW Equity,20502.0
BKSC UR Equity,21.419342
BL UW Equity,425.706
BLBD UQ Equity,683.995
BLCM UR Equity,6.2
BLDE UR Equity,67.158
BLDP UQ Equity,104.5
BLFS UR Equity,119.156
BLI UW Equity,85.388
BLIN UR Equity,13.259
BLKB UW Equity,927.74
BLMN UW Equity,4122.385
BLNK UR Equity,20.94
BLUE UW Equity,3.662
BMRC UR Equity,118.485
BMRN UW Equity,1846.275
BNFT UQ Equity,263.097
BNOX UQ Equity,4235.46331955651
BNTX UW Equity,18976.7
BOKF UW Equity,1935.704
BOMN UR Equity,56.971811
BOOM UW Equity,260.115
BPMC UW Equity,180.08
BPOP UW Equity,2764.765
BPRN UW Equity,73.941
BPTH UR Equity,4235.46331955651
BRCN UR Equity,0.258646
BRID UQ Equity,240.43
BRKL UW Equity,338.518
BRKR UW Equity,2417.9
BRY UW Equity,788.974
BSET UW Equity,486.534
BSGM UR Equity,0.441
BSQR UR Equity,40.367
BSRR UW Equity,141.155
BSVN UW Equity,58.539
BSY UW Equity,965.046
BTAI UR Equity,4235.46331955651
BUSE UW Equity,431.604
BVS UW Equity,430.898
BVXV UR Equity,4235.46331955651
BWB UR Equity,134.188
BWEN UR Equity,145.619
BWFG UQ Equity,87.033
BXRX UR Equity,1.08
BYFC UR Equity,27.966
BYND UW Equity,464.7
BYSI UR Equity,1.351
BZUN UW Equity,9396.256
CAAS UR Equity,497.993
CABA UW Equity,4235.46331955651
CAC UW Equity,198.219
CACC UW Equity,1856.0
CAKE UW Equity,2927.54
CALA UW Equity,9.75
CALM UW Equity,1348.987
CAMP UW Equity,308.587
CAR UW Equity,9313.0
CARA UQ Equity,23.028
CARG UW Equity,951.373
CASA UW Equity,401.325
CASH UW Equity,556.758
CASI UR Equity,30.168
CASS UW Equity,155.188
CASY UW Equity,8707.189
CATC UR Equity,177.838
CATY UW Equity,721.114
CBAN UQ Equity,106.876
CBAT UR Equity,52.669733
CBAY UW Equity,4235.46331955651
CBFV UQ Equity,54.637
CBIO UR Equity,7.338
CBNK UW Equity,173.879
CBRL UW Equity,2821.444
CBSH UW Equity,1438.742
CBTX UW Equity,148.357
CCB UW Equity,111.201
CCBG UW Equity,213.896
CCCC UW Equity,45.785
CCEL UR Equity,28.884902
CCEP UW Equity,13763.0
CCLP UW Equity,304.171
CCMP UW Equity,1199.831
CCNE UW Equity,213.034
CCOI UW Equity,589.797
CCRN UW Equity,1676.652
CCXI UW Equity,32.224
CDEV UR Equity,897.767
CDK UW Equity,1673.2
CDLX UQ Equity,267.116
CDMO UR Equity,95.868
CDNA UQ Equity,296.397
CDNS UW Equity,2988.244
CDTX UQ Equity,49.572
CDW UW Equity,20820.8
CDXC UR Equity,67.449
CDXS UW Equity,104.754
CDZI UQ Equity,0.564
CECE UW Equity,324.14
CELC UR Equity,4235.46331955651
CELH UR Equity,314.271559
CEMI UR Equity,47.818452
CENT UW Equity,3303.684
CENTA UW Equity,3303.684
CENX UW Equity,2212.5
CERE UR Equity,4235.46331955651
CERN UW Equity,5764.824
CERS UQ Equity,159.518
CERT UW Equity,286.104
CETX UR Equity,43.130934
CEVA UW Equity,122.706
CFFI UW Equity,142.891
CFFN UW Equity,286.267
CFMS UR Equity,99.86
CG UW Equity,8784.6
CGC UW Equity,546.649
CGEN UQ Equity,6.0
CGNT UW Equity,474.042
CGNX UW Equity,1037.098
CGRN UR Equity,67.636
CHCI UR Equity,31.093
CHCO UW Equity,235.108
CHDN UW Equity,1597.2
CHEF UW Equity,1745.757
CHK UW Equity,5809.0
CHKP UW Equity,2166.8
CHMG UW Equity,92.878
CHNG UW Equity,3090.421
CHNR UR Equity,6.867
CHRS UQ Equity,326.551
CHRW UW Equity,23102.138
CHTR UW Equity,51682.0
CHUY UW Equity,396.467
CHX UW Equity,3074.99
CIDM UQ Equity,31.419
CIGI UW Equity,4089.129
CINF UW Equity,9630.0
CIVB UR Equity,133.194
CIZN UQ Equity,50.697
CJJD UR Equity,133.134633
CKPT UR Equity,0.268
CLAR UW Equity,375.794
CLBK UW Equity,308.981
CLBS UR Equity,4235.46331955651
CLDX UR Equity,4.651
CLFD UQ Equity,140.755399
CLNE UW Equity,255.646
CLRB UR Equity,4235.46331955651
CLRO UR Equity,28.967
CLSD UQ Equity,29.575
CLSN UR Equity,0.5
CLVS UW Equity,148.757
CLXT UQ Equity,25.987
CMBM UQ Equity,335.854
CMCO UW Equity,649.642
CMCSA UW Equity,116385.0
CMCT UQ Equity,90.926
CME UW Equity,4689.7
CMLS UQ Equity,916.467
CMPR UW Equity,2592.513
CMRX UQ Equity,1.979
CMTL UW Equity,581.695
CNCE UQ Equity,32.578
CNDT UW Equity,4140.0
CNET UR Equity,47.328
CNOB UW Equity,317.429
CNSL UW Equity,1282.233
CNTY UR Equity,388.506
CNXC UW Equity,5587.015
CNXN UW Equity,2892.595
CODA UR Equity,21.331527
COFS UR Equity,83.812
COHR UW Equity,1487.468
COHU UW Equity,887.214
COKE UW Equity,5562.714
COLB UW Equity,630.159
COLL UW Equity,276.868
COLM UW Equity,3126.402
COMM UW Equity,8586.7
CONE UW Equity,1205.7
CONN UW Equity,1590.031
COOP UR Equity,3549.0
CORT UR Equity,365.978
COST UW Equity,195929.0
COUP UW Equity,725.289
COWN UW Equity,2112.799
CPHC UQ Equity,60.399698
CPIX UW Equity,35.985043
CPRT UW Equity,2692.511
CPRX UR Equity,140.833
CPSH UR Equity,22.449065
CPSI UW Equity,280.629
CPSS UQ Equity,267.811
CRAI UW Equity,565.933
CRBP UQ Equity,0.881705
CRDF UR Equity,0.359
CRDL UR Equity,0.07876
CREG UR Equity,4235.46331955651
CRESY UW Equity,42411.0
CREX UR Equity,18.437
CRIS UQ Equity,10.649
CRMD UQ Equity,0.190936
CRMT UW Equity,808.065
CRNC UW Equity,387.182
CRON UQ Equity,74.435
CROX UW Equity,2313.416
CRSP UQ Equity,914.963
CRTO UW Equity,2254.235
CRTX UW Equity,4235.46331955651
CRUS UW Equity,1369.23
CRVL UW Equity,552.644
CRVS UQ Equity,4235.46331955651
CRWD UW Equity,1451.594
CRWS UR Equity,79.164
CSCO UW Equity,49818.0
CSCW UR Equity,6.783957
CSGP UW Equity,1944.135
CSGS UW Equity,1046.487
CSII UW Equity,258.973
CSIQ UW Equity,5277.169
CSTE UW Equity,643.892
CSTL UQ Equity,94.085
CSTR UW Equity,141.14
CSWC UW Equity,68.062
CSWI UW Equity,419.205
CSX UW Equity,12522.0
CTAS UW Equity,7116.34
CTBI UW Equity,238.632
CTG UW Equity,392.285
CTHR UR Equity,39.235839
CTIC UR Equity,4235.46331955651
CTLP UW Equity,166.939
CTMX UW Equity,69.573
CTRE UW Equity,192.351
CTRN UW Equity,991.595
CTSH UW Equity,18507.0
CTSO UR Equity,43.165527
CTXS UW Equity,3217.17
CUE UR Equity,14.94137
CUTR UW Equity,231.27
CVBF UW Equity,468.015
CVCO UW Equity,1108.051
CVCY UR Equity,82.861
CVET UW Equity,4575.0
CVGI UW Equity,971.578
CVGW UW Equity,1055.83
CVLG UW Equity,1046.003
CVLT UW Equity,723.472
CVLY UQ Equity,88.056
CVT UQ Equity,518.811
CVV UR Equity,16.446813
CWCO UW Equity,66.863502
CWST UW Equity,889.211
CXDO UR Equity,28.092
CYAN UR Equity,32.345
CYBE UQ Equity,92.774
CYBR UW Equity,502.917
CYCC UR Equity,4235.46331955651
CYCN UW Equity,3.942
CYN UR Equity,4235.46331955651
CYRX UR Equity,222.608
CYT UW Equity,4235.46331955651
CYTH UR Equity,1.585756
CYTK UW Equity,70.428
CZNC UR Equity,110.382
CZR UW Equity,9570.0
CZWI UQ Equity,79.859
DAIO UR Equity,25.835
DAKT UW Equity,482.033
DALN UR Equity,154.374
DBX UW Equity,2157.9
DCOM UW Equity,426.694
DCPH UW Equity,96.148
DCT UW Equity,260.35
DCTH UR Equity,3.555
DDOG UW Equity,1028.784
DENN UR Equity,398.174
DFFN UR Equity,4235.46331955651
DGICA UW Equity,816.465791
DGICB UW Equity,816.465791
DGII UW Equity,308.632
DHC UW Equity,1383.212
DHIL UW Equity,182.193837
DIOD UW Equity,1805.162
DISCA UW Equity,12191.0
DISCB UW Equity,12191.0
DISCK UW Equity,12191.0
DISH UW Equity,17881.106
DJCO UR Equity,49.389
DKNG UW Equity,1296.025
DLHC UR Equity,246.094
DLTH UW Equity,698.584
DLTR UW Equity,26321.2
DMRC UW Equity,26.52
DNLI UW Equity,48.661
DOCU UW Equity,2107.213
DOMO UQ Equity,257.961
DOOO UW Equity,7647.9
DORM UW Equity,1345.249
DOX UW Equity,4288.64
DRIO UR Equity,20.513
DRRX UR Equity,13.977
DRVN UW Equity,1467.28
DSGX UW Equity,424.69
DSKE UR Equity,1556.8
DTIL UW Equity,115.529
DVAX UR Equity,439.442
DWSN UW Equity,24.695
DXCM UW Equity,2448.5
DXLG UQ Equity,505.021
DXPE UW Equity,1113.921
DXYN UQ Equity,341.247
DYN UW Equity,4235.46331955651
DZSI UR Equity,350.206
EA UW Equity,5629.0
EAST UR Equity,12.394
EBAY UW Equity,10420.0
EBC UW Equity,628.314
EBIX UW Equity,994.938
EBMT UQ Equity,97.516
EBTC UW Equity,167.14
ECOL UW Equity,988.001
ECOR UW Equity,5.451192
ECPG UW Equity,1614.499
EDIT UW Equity,25.544
EEFT UW Equity,2995.443
EFSC UW Equity,450.973
EGAN UR Equity,78.287
EGBN UR Equity,404.881
EGLE UW Equity,594.537654
EGRX UQ Equity,171.546
EHTH UW Equity,538.199
EIGR UQ Equity,12.142
ELDN UR Equity,4235.46331955651
EMCF UR Equity,41.171
EMKR UQ Equity,158.444
EML UQ Equity,246.522823
ENDP UW Equity,2993.206
ENG UR Equity,36.41
ENPH UQ Equity,1382.049
ENSG UW Equity,2627.461
ENTA UW Equity,97.074
ENTG UW Equity,2298.893
EPAY UW Equity,471.403
EPZM UW Equity,37.427
EQ UQ Equity,4235.46331955651
EQBK UW Equity,190.21
EQIX UW Equity,6635.537
ERIC UW Equity,232314.0
ERIE UW Equity,2633.977
ERII UW Equity,103.904
ESCA UQ Equity,313.612
ESGR UW Equity,716.0
ESLT UW Equity,5278.521
ESPR UQ Equity,78.447
ESQ UR Equity,65.555
ESSA UW Equity,70.18
ETSY UW Equity,2329.114
EVBG UQ Equity,368.433
EVER UQ Equity,418.515
EVFM UR Equity,8.244
EVGN UQ Equity,0.93
EVLO UW Equity,4235.46331955651
EVO UW Equity,618.034
EVOL UR Equity,4235.46331955651
EVOP UQ Equity,496.645
EWBC UW Equity,1904.629
EXAS UR Equity,1767.087
EXC UW Equity,36347.0
EXEL UW Equity,1434.97
EXLS UW Equity,1122.293
EXPD UW Equity,16523.517
EXPE UW Equity,8598.0
EXPI UQ Equity,3771.17
EXPO UW Equity,466.269
EXTR UW Equity,1009.418
EYE UW Equity,2079.525
EYES UR Equity,4235.46331955651
EYPT UQ Equity,36.939
EZPW UW Equity,729.551
FANG UW Equity,5567.0
FARM UW Equity,397.85
FARO UW Equity,337.814
FAST UW Equity,6010.9
FATE UQ Equity,55.846
FB UW Equity,117929.0
FBIO UR Equity,68.791
FBIZ UW Equity,124.095
FBMS UQ Equity,214.218
FBNC UW Equity,329.529
FBRX UR Equity,4235.46331955651
FCAP UR Equity,39.011
FCBC UW Equity,139.611
FCCO UR Equity,61.424
FCEL UQ Equity,69.585
FCFS UW Equity,1698.965
FCNCA UW Equity,1959.012
FDBC UQ Equity,83.755
FEIM UQ Equity,54.254
FELE UW Equity,1661.865
FFBC UW Equity,654.723
FFHL UR Equity,336.755
FFIC UW Equity,292.249
FFIN UW Equity,518.581
FFIV UW Equity,2603.416
FFNW UW Equity,57.66
FFWM UQ Equity,317.671
FGBI UQ Equity,122.677
FGEN UW Equity,235.309
FGF UQ Equity,7.595
FHB UW Equity,734.227
FIBK UW Equity,656.0
FISI UW Equity,214.111
FISV UW Equity,16226.0
FITB UW Equity,8329.0
